                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    121,                0.33534,                0.45182,                  1.111,                0.88199,                0.77046,                0.92508,                 0.8625,                0.39968,                0.50697,                0.89166,             0.00011005,             0.00011005,             0.00011005
                    122,                0.32175,                0.40281,                 1.0907,                0.85947,                0.78844,                0.91368,                0.85492,                0.40273,                 0.4916,                0.89154,             9.9064e-05,             9.9064e-05,             9.9064e-05
                    123,                0.32308,                0.39418,                 1.0898,                0.74355,                 0.8752,                0.91901,                0.86192,                0.40001,                0.51614,                0.88909,             8.8073e-05,             8.8073e-05,             8.8073e-05
                    124,                0.32053,                0.39757,                  1.098,                0.80564,                0.84797,                 0.9142,                0.85903,                0.39065,                0.49085,                0.88276,             7.7081e-05,             7.7081e-05,             7.7081e-05
                    125,                0.31913,                0.38601,                 1.0933,                0.93789,                0.77445,                 0.9265,                0.87067,                0.39478,                0.48298,                0.89238,              6.609e-05,              6.609e-05,              6.609e-05
                    126,                0.32215,                0.39487,                  1.088,                0.82148,                0.84701,                0.91994,                0.86169,                0.38906,                0.48213,                0.88197,             5.5099e-05,             5.5099e-05,             5.5099e-05
                    127,                0.31339,                0.37621,                 1.0901,                0.76867,                0.87215,                0.91465,                 0.8508,                0.38386,                0.48665,                 0.8754,             4.4108e-05,             4.4108e-05,             4.4108e-05
                    128,                0.31495,                0.38937,                  1.087,                0.77456,                0.87013,                0.91567,                0.85382,                0.38915,                0.48296,                0.87689,             3.3117e-05,             3.3117e-05,             3.3117e-05
                    129,                0.31188,                0.37822,                 1.0788,                0.77242,                0.86775,                0.91798,                0.85777,                0.38534,                0.48422,                0.87142,             2.2125e-05,             2.2125e-05,             2.2125e-05
                    130,                0.30983,                0.36462,                 1.0954,                0.79402,                0.84733,                0.91756,                0.85519,                 0.3844,                0.48006,                0.87051,             1.1134e-05,             1.1134e-05,             1.1134e-05
